rank,Category,Indicator,Policy,Country,ISO,value,unit,year
30,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Egypt,EGY,94.9717,per 100 people,2019.0
31,Environment,Energy use ,H1_Public information campaigns,Egypt,EGY,79.92308951008364,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
32,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Egypt,EGY,0.4521,Ones,2018.0
33,Governance,Economic Freedom Score,H1_Public information campaigns,Egypt,EGY,5.38,score,2018.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Egypt,EGY,238560.4,kt,2016.0
36,Social issues ,Life Ladder ,H1_Public information campaigns,Egypt,EGY,4.282700061798096,score,2021.0
37,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Egypt,EGY,0.1,percent,2019.0
38,Governance,Voice and accountability estimate,H1_Public information campaigns,Egypt,EGY,-1.428673,score,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Egypt,EGY,3.55627892719642,percent of GNI,2018.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Egypt,EGY,0.31957,percent,2019.0
41,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Egypt,EGY,97.92893,percent of total,2014.0
42,Governance,Control of corruption estimate,H1_Public information campaigns,Egypt,EGY,-0.670213,score,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Egypt,EGY,10.1280003,percent of total labor force,2020.0
44,Health,Prevalence of obesity,H1_Public information campaigns,Egypt,EGY,32.0,percent,2016.0
45,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Egypt,EGY,0.00173,percent,2019.0
46,Governance,Corruption Perceptions Index,H1_Public information campaigns,Egypt,EGY,33.0,score,2020.0
47,Governance,Fragile States Index Total ,H1_Public information campaigns,Egypt,EGY,86.00613825029183,score,2020.0
48,Environment,Renewable energy consumption ,H1_Public information campaigns,Egypt,EGY,5.70937726460422,percent of total final energy consumption,2015.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Egypt,EGY,95.0,percent,2019.0
50,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Egypt,EGY,0.0,percent of total,2014.0
52,Social issues ,Press freedom score,H1_Public information campaigns,Egypt,EGY,56.82,score,2020.0
53,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,Egypt,EGY,1.4,percent,2018.0
54,Governance,Human Development Index,H1_Public information campaigns,Egypt,EGY,0.707,index,2019.0
56,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Egypt,EGY,48.5509987,Percentage of total employment,2020.0
57,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Egypt,EGY,15.10067114,proportion,2020.0
58,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Egypt,EGY,86.99945,micrograms per cubic meter,2017.0
59,Environment,Combustible renewables and waste,H1_Public information campaigns,Egypt,EGY,2.288711,percent of total energy,2014.0
60,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Egypt,EGY,95.0,percent,2019.0
61,Health,Mortality due to COVID-19,H1_Public information campaigns,Egypt,EGY,7041.0,"Number (cumulative total by Dec 26,2020)",2020.0
62,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Egypt,EGY,17.8,percent,2020.0
63,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Egypt,EGY,2.525863,metric tons per capita,2016.0
65,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Egypt,EGY,31.5,index ,2017.0
67,Environment,Access to electricity ,H1_Public information campaigns,Egypt,EGY,100.0,percent of population,2018.0
68,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Egypt,EGY,1598000000.0,kWh,2015.0
69,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Egypt,EGY,22.3,percent,2020.0
72,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Egypt,EGY,22.0760002,Percentage of females of the total population,2020.0
75,Environment,Electric power consumption ,H1_Public information campaigns,Egypt,EGY,1683.213518295575,kWh per capita,2014.0
78,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Egypt,EGY,91.74071448589658,percent of total,2015.0
79,Governance,Rule of law estimate ,H1_Public information campaigns,Egypt,EGY,-0.420846,score,2019.0
83,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Egypt,EGY,6.0,score,2021.0
85,Demographics,Secure Internet servers ,H1_Public information campaigns,Egypt,EGY,35.33288262242069,per 1 million people,2019.0
87,Governance,Total freedom in the world score ,H1_Public information campaigns,Egypt,EGY,18.0,score,2021.0
90,Environment,"Energy imports, net ",H1_Public information campaigns,Egypt,EGY,-7.391493975802161,percent of energy use,2014.0
103,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Egypt,EGY,100.0,percent of total,2017.0
109,Environment,Electricity production from coal sources ,H1_Public information campaigns,Egypt,EGY,0.0,percent of total,2015.0
116,Governance,Personal Freedom Score ,H1_Public information campaigns,Egypt,EGY,3.95,score,2018.0
