rank,Category,Indicator,Policy,Country,ISO,value,unit,year
32,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Turkmenistan,TKM,4.4273,Ones,2014.0
35,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,score,2021.0
37,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Turkmenistan,TKM,2.2247,Ones,2014.0
38,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Turkmenistan,TKM,69.05814193586684,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C4_Restrictions on gatherings,Turkmenistan,TKM,100.0,percent of total,2017.0
41,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Turkmenistan,TKM,5.066400051116943,score,2021.0
42,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Turkmenistan,TKM,70630.09,kt,2016.0
43,Economics,Volume of exports,C4_Restrictions on gatherings,Turkmenistan,TKM,5.694,percent change,2020.0
44,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Turkmenistan,TKM,7.6,percent,2020.0
45,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,kWh,2015.0
46,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Turkmenistan,TKM,19.0,score,2020.0
47,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Turkmenistan,TKM,100.0,percent of total,2015.0
48,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Turkmenistan,TKM,3.8,percent,2020.0
49,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Turkmenistan,TKM,0.03113,percent,2019.0
50,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
52,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Turkmenistan,TKM,37.901001,Percentage of total employment,2020.0
53,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Turkmenistan,TKM,0.260769,percent,2019.0
54,Governance,Human Development Index,C4_Restrictions on gatherings,Turkmenistan,TKM,0.715,index,2019.0
56,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Turkmenistan,TKM,682000.0,number,2019.0
57,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Turkmenistan,TKM,0.093456,percent,2019.0
59,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Turkmenistan,TKM,0.000232,percent,2019.0
60,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Turkmenistan,TKM,-191.5113367678815,percent of energy use,2014.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Turkmenistan,TKM,18.6,percent,2016.0
65,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-0.093641,score,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Turkmenistan,TKM,99.0,percent,2019.0
69,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Turkmenistan,TKM,51.25,Percentage of females of the total population,2020.0
71,Environment,Access to electricity ,C4_Restrictions on gatherings,Turkmenistan,TKM,100.0,percent of population,2018.0
72,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.511905,score,2019.0
74,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
79,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0275,percent of total energy,2014.0
81,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Turkmenistan,TKM,21.76772,micrograms per cubic meter,2017.0
82,Economics,"Trade, total as % of GDP",C4_Restrictions on gatherings,Turkmenistan,TKM,36.68384,percent,2019.0
89,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-2.131469,score,2019.0
91,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Turkmenistan,TKM,4893.409616107925,kg of oil equivalent per capita,2014.0
99,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C4_Restrictions on gatherings,Turkmenistan,TKM,43908.6,international $ in PPP,2020.0
109,Economics,"Foreign direct investment, net",C4_Restrictions on gatherings,Turkmenistan,TKM,1985147000.0,US Dollar,2018.0
112,Environment,Electricity production from nuclear sources ,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,percent of total,2014.0
